state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage
NH,0,0,26,0,3,23,0,8,2509,26,1981,26,6,8,5,26,1,23,0,26,1,8,172,26,2,8,2,26,16,23,15,26,1,8,0,26,228,26,0.789557593,26,1981,2509,0.008207934,8,6,731,0.006417112,8,6,935,0.019417476,8,2,103,0.754385965,26,172,228,,0,26,1,26,0,26,0,26,2,26,1,26,1,26,0,26,0,26,0,8,0,8,0,8,0,8,1,8,0,8,0,8,0,8,0,9,0,3,,,,,,,0,26,0,26,0,3,0,3,1,0,3,26,20,26,69,26,0,26,0,26,0,26,0,26,0,26,4,26,8,26
GA,4,18,122,3,103,38,6,49,20694,143,15589,143,109,45,36,144,23,47,2,141,0,43,1928,144,19,45,26,144,109,45,174,144,0,45,1,141,2545,144,0.753310138,143,15589,20694,0.018046358,45,109,6040,0.013753943,45,109,7925,0.015447154,45,19,1230,0.757563851,144,1928,2545,,0,144,0,138,0,138,1,138,5,138,7,138,13,138,9,138,1,144,0,47,0,46,0,46,1,46,7,46,6,46,5,46,4,46,0,47,1,32,85,0,32,0,0,0,71,144,2,144,0,46,0,46,78,0,46,144,840,141,1311,141,2,141,0,135,0,135,0,141,1,141,243,141,393,141
SD,0,0,62,0,52,10,0,7,2059,62,1315,62,1,7,2,62,0,11,0,59,0,8,125,62,0,7,2,62,1,7,7,62,0,7,0,59,222,62,0.638659543,62,1315,2059,0.002777778,7,1,360,0.002403846,7,1,416,0,7,0,75,0.563063063,62,125,222,,0,61,0,49,0,49,0,49,0,49,0,49,1,49,1,50,0,62,0,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,11,,0,157,,66,0,,0,0,62,0,62,,0,,0,0,,0,62,44,59,109,59,0,58,0,46,0,46,0,59,0,59,1,59,10,59
PR,0,2,53,0,4,51,8,53,8099,55,5255,55,152,51,16,55,6,52,3,54,13,51,425,55,19,51,12,55,130,51,127,55,22,51,6,54,629,55,0.648845536,55,5255,8099,0.031845799,51,152,4773,0.020739528,51,152,7329,0.033158813,51,19,573,0.675675676,55,425,629,,0,55,0,55,2,55,1,55,0,55,1,55,3,55,9,55,0,55,0,52,0,52,0,52,0,52,1,52,2,52,1,52,0,52,2,52,1,4,0,0,0,0,0,0,4,55,5,55,0,2,0,2,47,0,2,55,502,54,1078,54,3,54,0,54,0,54,0,54,3,54,35,54,88,54
MS,0,7,95,1,91,10,0,21,7635,102,4843,102,21,22,7,102,1,45,1,100,0,21,530,102,2,22,6,102,21,22,54,102,0,22,2,100,692,102,0.634315652,102,4843,7635,0.014046823,22,21,1495,0.007681053,22,21,2734,0.011428571,22,2,175,0.765895954,102,530,692,,0,102,0,95,1,95,0,95,0,95,2,95,3,95,1,95,0,102,0,23,0,23,0,23,0,23,0,23,0,23,0,23,1,23,0,23,0,20,24,30,37,0,0,0,1,102,3,102,0,20,0,20,16,0,20,102,150,100,310,100,1,100,0,93,0,94,0,99,0,100,37,100,60,100
MI,26,110,20,28,124,4,0,25,21003,156,15824,156,18,25,13,156,1,141,0,152,0,25,1712,156,2,25,12,156,11,25,94,156,7,25,8,152,2308,156,0.753416179,156,15824,21003,0.00650524,25,18,2767,0.004884668,25,18,3685,0.003921569,25,2,510,0.741767764,156,1712,2308,,0,155,1,155,1,155,0,155,1,155,4,155,3,156,3,155,0,156,0,29,1,29,0,29,0,29,0,29,0,29,0,29,0,29,0,31,1,137,16,62,0,0,0,0,0,156,0,156,0,25,0,25,97,0,25,156,544,152,918,152,0,152,0,151,0,151,0,152,1,152,115,152,159,152
DC,0,0,12,0,10,2,0,1,3099,12,2335,12,8,2,6,12,5,12,1,11,2,2,250,12,0,2,2,12,8,2,24,12,0,2,3,11,297,12,0.753468861,12,2335,3099,0.015594542,2,8,513,0.011764706,2,8,680,0,2,0,62,0.841750842,12,250,297,,0,12,0,12,1,12,1,12,3,12,1,12,0,12,0,12,0,12,0,3,0,3,0,3,1,3,1,3,2,3,0,3,1,3,0,3,0,6,67,75,55,0,0,0,2,11,0,11,0,1,0,1,3,0,1,11,251,11,298,11,0,11,0,11,1,11,0,11,1,11,60,11,62,11
OH,1,23,166,4,55,131,38,134,26486,190,20331,190,233,157,21,190,12,142,0,186,15,136,2514,190,24,157,17,190,168,157,112,190,65,157,6,186,3582,190,0.767613079,190,20331,26486,0.012263158,157,233,19000,0.009533552,157,233,24440,0.006898534,157,24,3479,0.701842546,190,2514,3582,,0,190,0,190,1,190,0,190,2,190,4,190,7,190,7,190,0,190,1,142,2,142,2,142,0,142,1,142,1,142,3,142,2,142,0,163,0,24,196,0,251,0,0,0,1,190,0,190,0,25,0,25,11,1,25,190,1278,186,1990,186,0,186,0,186,0,186,0,186,2,186,431,186,626,186
NE,0,8,85,4,77,12,0,41,4742,93,3126,93,16,39,4,93,1,41,0,92,0,40,375,93,1,39,4,93,16,39,19,93,0,39,0,92,492,93,0.659215521,93,3126,4742,0.009060023,39,16,1766,0.006402561,39,16,2499,0.003787879,39,1,264,0.762195122,93,375,492,,0,93,0,86,0,86,0,86,0,86,0,86,1,86,3,86,0,93,0,41,0,41,0,41,0,41,0,41,0,41,1,41,0,41,0,41,0,7,156,2,163,0,0,0,0,93,0,93,0,38,0,38,0,0,38,93,219,92,328,92,0,92,0,85,0,85,0,92,2,92,71,92,90,92
WI,9,73,52,8,88,38,0,20,10690,134,7222,134,21,20,10,134,15,96,4,131,0,20,717,134,3,20,4,134,21,20,59,134,0,20,3,131,1089,134,0.675584659,134,7222,10690,0.019571295,20,21,1073,0.012,20,21,1750,0.019354839,20,3,155,0.658402204,134,717,1089,,0,133,0,133,1,133,1,132,1,133,3,133,2,133,2,133,0,134,0,23,0,23,1,23,0,23,4,23,3,23,5,23,2,23,0,23,0,22,0,,0,0,,0,0,134,5,134,0,20,0,20,6,0,20,134,341,131,492,131,0,131,2,130,0,130,2,131,0,131,69,131,93,131
LA,3,21,121,2,128,15,1,32,12174,145,7917,145,57,22,17,145,7,26,0,142,5,23,974,145,10,22,8,145,50,22,75,145,7,22,32,142,1387,145,0.650320355,145,7917,12174,0.024814976,22,57,2297,0.016740088,22,57,3405,0.021367521,22,10,468,0.70223504,145,974,1387,,0,145,0,142,1,142,0,142,0,142,3,142,9,142,4,142,0,145,0,25,0,25,2,25,0,25,0,25,1,25,1,25,3,25,0,26,0,30,90,0,78,0,0,0,0,145,1,145,0,25,0,25,3,0,25,145,405,142,666,142,0,142,0,139,0,139,0,142,2,142,142,142,215,142
AZ,0,11,78,0,60,29,1,42,14416,88,10878,88,187,50,26,89,64,52,1,86,6,49,1068,89,207,50,17,89,168,50,135,89,6,50,8,86,1595,89,0.754578246,88,10878,14416,0.023842149,49,174,7298,0.018109908,49,174,9608,0.182378855,50,207,1135,0.669592476,89,1068,1595,,0,89,1,84,3,84,2,84,1,83,5,84,9,84,5,83,0,89,0,52,3,52,2,52,6,52,7,52,12,52,17,52,17,52,0,53,0,11,0,0,0,0,0,0,5,89,5,89,0,11,0,11,24,0,11,89,641,86,956,86,1,86,0,81,0,81,0,86,3,86,181,86,297,86
VA,9,31,53,11,49,33,3,59,16584,92,11053,92,125,58,19,93,66,61,1,90,1,58,1193,92,15,58,12,92,124,62,97,93,3,58,2,90,1796,92,0.666485769,92,11053,16584,0.015555002,57,125,8036,0.010462002,57,125,11948,0.010445682,58,15,1436,0.664253898,92,1193,1796,,0,93,0,92,2,92,4,92,2,92,3,92,4,92,4,92,0,93,0,61,5,61,4,61,6,61,7,61,16,61,14,61,14,61,0,61,7,60,590,1428,38,96,0,133,5,93,2,93,0,59,0,59,18,2,59,93,574,90,911,90,1,90,0,87,0,87,0,88,1,90,120,90,184,90
IL,2,50,121,2,137,34,1,67,27427,173,18063,173,115,71,15,173,20,81,1,168,1,72,1798,173,14,71,14,173,109,71,121,173,6,71,2,168,3027,173,0.658584606,173,18063,27427,0.014458134,71,115,7954,0.00965332,71,115,11913,0.010827533,71,14,1293,0.593987446,173,1798,3027,,0,173,1,162,0,161,0,161,3,162,3,161,3,161,7,161,0,172,0,78,1,77,0,77,3,77,5,77,3,77,5,77,3,77,0,78,1,62,344,1114,93,9,0,0,1,173,3,173,0,52,0,52,13,0,53,173,826,168,1303,168,0,167,0,152,1,156,0,166,0,168,354,168,525,168
